[Build.BRAND]: [MTK]
[aaudio.mmap_exclusive_policy]: [2]
[aaudio.mmap_policy]: [2]
[apex.all.ready]: [true]
[bluetooth.profile.a2dp.source.enabled]: [true]
[bluetooth.profile.asha.central.enabled]: [true]
[bluetooth.profile.avrcp.target.enabled]: [true]
[bluetooth.profile.bap.broadcast.assist.enabled]: [false]
[bluetooth.profile.bap.broadcast.source.enabled]: [false]
[bluetooth.profile.bap.unicast.client.enabled]: [false]
[bluetooth.profile.bas.client.enabled]: [true]
[bluetooth.profile.ccp.server.enabled]: [false]
[bluetooth.profile.csip.set_coordinator.enabled]: [false]
[bluetooth.profile.gatt.enabled]: [true]
[bluetooth.profile.hap.client.enabled]: [false]
[bluetooth.profile.hfp.ag.enabled]: [true]
[bluetooth.profile.hid.device.enabled]: [true]
[bluetooth.profile.hid.host.enabled]: [true]
[bluetooth.profile.map.server.enabled]: [true]
[bluetooth.profile.mcp.server.enabled]: [false]
[bluetooth.profile.opp.enabled]: [true]
[bluetooth.profile.pan.nap.enabled]: [true]
[bluetooth.profile.pan.panu.enabled]: [true]
[bluetooth.profile.pbap.server.enabled]: [true]
[bluetooth.profile.sap.server.enabled]: [true]
[bluetooth.profile.vcp.controller.enabled]: [false]
[bootreceiver.enable]: [1]
[build.version.extensions.ad_services]: [15]
[build.version.extensions.r]: [15]
[build.version.extensions.s]: [15]
[build.version.extensions.t]: [15]
[build.version.extensions.u]: [15]
[build.version.extensions.v]: [15]
[cache_key.display_info]: [8299672885208601429]
[cache_key.get_packages_for_uid]: [8299672885208601197]
[cache_key.has_system_feature]: [8299672885208600315]
[cache_key.is_compat_change_enabled]: [8299672885208601465]
[cache_key.is_interactive]: [8299672885208601421]
[cache_key.is_power_save_mode]: [8299672885208600797]
[cache_key.is_user_unlocked]: [8299672885208600405]
[cache_key.location_enabled]: [8299672885208600338]
[cache_key.package_info]: [8299672885208601466]
[cache_key.system_server.account_user_data]: [8299672885208601462]
[cache_key.system_server.accounts_data]: [8299672885208600876]
[cache_key.system_server.connectionless_stylus_handwriting]: [8299672885208601089]
[cache_key.system_server.device_policy_manager_caches]: [8299672885208600334]
[cache_key.system_server.get_credential_type]: [8299672885208600339]
[cache_key.system_server.get_night_mode]: [8299672885208600332]
[cache_key.system_server.handwriting_enable_state]: [8299672885208601087]
[cache_key.system_server.stylus_handwriting]: [8299672885208601088]
[cache_key.telephony.phone_account_to_subid]: [-6945465945088552501]
[cache_key.telephony.subscription_manager_service]: [-6945465945088552515]
[camera.disable_zsl_mode]: [1]
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.background-dex2oat-cpu-set]: [0,1,2,3]
[dalvik.vm.background-dex2oat-threads]: [4]
[dalvik.vm.boot-dex2oat-cpu-set]: [0,1,2,3]
[dalvik.vm.boot-dex2oat-threads]: [6]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dex2oat-threads]: [6]
[dalvik.vm.dex2oat64.enabled]: [true]
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.enable_pr_dexopt]: [true]
[dalvik.vm.heapgrowthlimit]: [256m]
[dalvik.vm.heapmaxfree]: [8m]
[dalvik.vm.heapminfree]: [2m]
[dalvik.vm.heapsize]: [512m]
[dalvik.vm.heapstartsize]: [8m]
[dalvik.vm.heaptargetutilization]: [0.75]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.image-dex2oat-cpu-set]: [0,1,2,3]
[dalvik.vm.isa.arm.features]: [default]
[dalvik.vm.isa.arm.variant]: [cortex-a55]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [cortex-a55]
[dalvik.vm.madvise.artfile.size]: [0]
[dalvik.vm.madvise.odexfile.size]: [0]
[dalvik.vm.madvise.vdexfile.size]: [0]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.mtk-stack-trace-file]: [/data/anr/mtk_traces.txt]
[dalvik.vm.ps-min-first-save-ms]: [8000]
[dalvik.vm.usap_pool_enabled]: [false]
[dalvik.vm.usap_pool_refill_delay_ms]: [3000]
[dalvik.vm.usap_pool_size_max]: [3]
[dalvik.vm.usap_pool_size_min]: [1]
[dalvik.vm.usap_refill_threshold]: [1]
[dalvik.vm.useartservice]: [true]
[dalvik.vm.usejit]: [true]
[debug.atrace.tags.enableflags]: [0]
[debug.debuggerd.disable]: [0]
[debug.egl.force_msaa]: [false]
[debug.force_rtl]: [false]
[debug.hwui.initialize_gl_always]: [1]
[debug.hwui.show_dirty_regions]: []
[debug.hwui.show_layers_updates]: []
[debug.hwui.skia_tracing_enabled]: [false]
[debug.hwui.skia_use_perfetto_track_events]: [false]
[debug.layout]: [false]
[debug.media.video.ais]: [false]
[debug.mediatek.appgamepq_compress]: [1]
[debug.mediatek.disp_decompress]: [1]
[debug.modem.phone.init_count]: [1]
[debug.mtk_tflite.target_nnapi]: [29]
[debug.perfetto.sdk_sysprop_guard_generation]: [0]
[debug.renderengine.backend]: [skiagl]
[debug.renderengine.skia_tracing_enabled]: [false]
[debug.renderengine.skia_use_perfetto_track_events]: [false]
[debug.sf.disable_backpressure]: [1]
[debug.sf.early.app.duration]: [20000000]
[debug.sf.early.sf.duration]: [27600000]
[debug.sf.earlyGl.app.duration]: [20000000]
[debug.sf.earlyGl.sf.duration]: [27600000]
[debug.sf.enable_gl_backpressure]: [0]
[debug.sf.enable_hwc_vds]: [0]
[debug.sf.enable_transaction_tracing]: [false]
[debug.sf.high_fps.early.app.duration]: [10000000]
[debug.sf.high_fps.early.sf.duration]: [13800000]
[debug.sf.high_fps.earlyGl.app.duration]: [10000000]
[debug.sf.high_fps.earlyGl.sf.duration]: [13800000]
[debug.sf.high_fps.hwc.min.duration]: [8500000]
[debug.sf.high_fps.late.app.duration]: [10000000]
[debug.sf.high_fps.late.sf.duration]: [13800000]
[debug.sf.hwc.min.duration]: [2000000]
[debug.sf.late.app.duration]: [20000000]
[debug.sf.late.sf.duration]: [27600000]
[debug.sf.predict_hwc_composition_strategy]: [0]
[debug.sf.treat_170m_as_sRGB]: [1]
[debug.sf.use_phase_offsets_as_durations]: [1]
[debug.stagefright.c2inputsurface]: [-1]
[debug.tp.grip_enable]: [0]
[debug.tracing.battery_status]: [2]
[debug.tracing.device_state]: [0:DEFAULT]
[debug.tracing.mcc]: [470]
[debug.tracing.mnc]: [2]
[debug.tracing.plug_type]: [2]
[debug.tracing.screen_brightness]: [0.29321727]
[debug.tracing.screen_state]: [2]
[dev.bootcomplete]: [1]
[dev.mnt.blk.cust]: [sdc56]
[dev.mnt.blk.data]: [sdc66]
[dev.mnt.blk.data.user.0]: [sdc66]
[dev.mnt.blk.data_mirror.cur_profiles]: [sdc66]
[dev.mnt.blk.data_mirror.data_ce.null]: [sdc66]
[dev.mnt.blk.data_mirror.data_ce.null.0]: [sdc66]
[dev.mnt.blk.data_mirror.data_de.null]: [sdc66]
[dev.mnt.blk.data_mirror.misc_ce.null]: [sdc66]
[dev.mnt.blk.data_mirror.misc_de.null]: [sdc66]
[dev.mnt.blk.data_mirror.ref_profiles]: [sdc66]
[dev.mnt.blk.data_mirror.storage_area]: [sdc66]
[dev.mnt.blk.metadata]: [sdc14]
[dev.mnt.blk.mi_ext]: [sdc65]
[dev.mnt.blk.mnt.rescue]: [sdc57]
[dev.mnt.blk.mnt.vendor.mi_ext]: [sdc65]
[dev.mnt.blk.mnt.vendor.nvcfg]: [sdc6]
[dev.mnt.blk.mnt.vendor.nvdata]: [sdc7]
[dev.mnt.blk.mnt.vendor.persist]: [sdc15]
[dev.mnt.blk.mnt.vendor.protect_f]: [sdc18]
[dev.mnt.blk.mnt.vendor.protect_s]: [sdc19]
[dev.mnt.blk.odm_dlkm]: [sdc65]
[dev.mnt.blk.product]: [sdc65]
[dev.mnt.blk.root]: [sdc65]
[dev.mnt.blk.system_dlkm]: [sdc65]
[dev.mnt.blk.system_ext]: [sdc65]
[dev.mnt.blk.vendor]: [sdc65]
[dev.mnt.blk.vendor_dlkm]: [sdc65]
[dev.mnt.dev.cust]: [sdc56]
[dev.mnt.dev.data]: [dm-64]
[dev.mnt.dev.data.user.0]: [dm-64]
[dev.mnt.dev.data_mirror.cur_profiles]: [dm-64]
[dev.mnt.dev.data_mirror.data_ce.null]: [dm-64]
[dev.mnt.dev.data_mirror.data_ce.null.0]: [dm-64]
[dev.mnt.dev.data_mirror.data_de.null]: [dm-64]
[dev.mnt.dev.data_mirror.misc_ce.null]: [dm-64]
[dev.mnt.dev.data_mirror.misc_de.null]: [dm-64]
[dev.mnt.dev.data_mirror.ref_profiles]: [dm-64]
[dev.mnt.dev.data_mirror.storage_area]: [dm-64]
[dev.mnt.dev.metadata]: [sdc14]
[dev.mnt.dev.mi_ext]: [dm-20]
[dev.mnt.dev.mnt.rescue]: [sdc57]
[dev.mnt.dev.mnt.vendor.mi_ext]: [dm-20]
[dev.mnt.dev.mnt.vendor.nvcfg]: [sdc6]
[dev.mnt.dev.mnt.vendor.nvdata]: [sdc7]
[dev.mnt.dev.mnt.vendor.persist]: [sdc15]
[dev.mnt.dev.mnt.vendor.protect_f]: [sdc18]
[dev.mnt.dev.mnt.vendor.protect_s]: [sdc19]
[dev.mnt.dev.odm_dlkm]: [dm-22]
[dev.mnt.dev.product]: [dm-19]
[dev.mnt.dev.root]: [dm-16]
[dev.mnt.dev.system_dlkm]: [dm-23]
[dev.mnt.dev.system_ext]: [dm-17]
[dev.mnt.dev.vendor]: [dm-18]
[dev.mnt.dev.vendor_dlkm]: [dm-21]
[dev.mnt.rootdisk.cust]: [sdc]
[dev.mnt.rootdisk.data]: [sdc]
[dev.mnt.rootdisk.data.user.0]: [sdc]
[dev.mnt.rootdisk.data_mirror.cur_profiles]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_ce.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_ce.null.0]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_de.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.misc_ce.null]: [sdc]
