Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 192.168.10.134:51632    del11s08-in-f10.1:https ESTABLISHED
tcp        0      0 192.168.10.134:33706    tzdela-bf-in-f10.:https ESTABLISHED
tcp        0      0 192.168.10.134:33698    tzdela-bf-in-f10.:https ESTABLISHED
tcp        0      0 192.168.10.134:46004    151.101.193.91:https    ESTABLISHED
tcp        0      0 192.168.10.134:58146    del12s01-in-f14.1:https ESTABLISHED
tcp        0      0 192.168.10.134:48040    192.168.10.184:ssh      ESTABLISHED
tcp        0      0 192.168.10.134:46016    151.101.193.91:https    ESTABLISHED
tcp6       0      0 ::ffff:192.168.10:58942 se-in-f188.1e100.n:5228 ESTABLISHED
tcp6       0      0 ::ffff:192.168.10:54812 ::ffff:172.64.155:https TIME_WAIT  
tcp6       0      0 ::ffff:192.168.10:49324 ::ffff:161.:xmpp-client ESTABLISHED
udp        0      0 192.168.10.134:bootpc   192.168.10.1:bootps     ESTABLISHED
udp        0      0 192.168.10.134:45317    del11s15-in-f10.1:https ESTABLISHED
udp        0      0 192.168.10.134:59118    dns.google:https        ESTABLISHED
Active UNIX domain sockets (w/o servers)
Proto RefCnt Flags       Type       State         I-Node   Path
unix  3      [ ]         SEQPACKET  CONNECTED     513635   
unix  2      [ ]         DGRAM      CONNECTED     357579   
unix  2      [ ]         DGRAM      CONNECTED     48933    
unix  3      [ ]         SEQPACKET  CONNECTED     39278    
unix  3      [ ]         STREAM     CONNECTED     309001   
unix  2      [ ]         DGRAM      CONNECTED     51649    
unix  3      [ ]         STREAM     CONNECTED     417651   
unix  2      [ ]         DGRAM      CONNECTED     38874    
unix  2      [ ]         DGRAM      CONNECTED     26494    
unix  2      [ ]         DGRAM      CONNECTED     43254    
unix  2      [ ]         DGRAM      CONNECTED     31010    
unix  2      [ ]         DGRAM      CONNECTED     488037   
unix  3      [ ]         STREAM     CONNECTED     334297   
unix  3      [ ]         SEQPACKET  CONNECTED     358799   
unix  2      [ ]         DGRAM      CONNECTED     52599    
unix  2      [ ]         DGRAM      CONNECTED     17044    
unix  3      [ ]         SEQPACKET  CONNECTED     561446   
unix  2      [ ]         DGRAM      CONNECTED     12815    
unix  3      [ ]         SEQPACKET  CONNECTED     249129   
unix  3      [ ]         SEQPACKET  CONNECTED     44207    
unix  2      [ ]         DGRAM      CONNECTED     31012    
unix  2      [ ]         DGRAM      CONNECTED     29756    
unix  2      [ ]         DGRAM      CONNECTED     618892   
unix  3      [ ]         STREAM     CONNECTED     424513   
unix  2      [ ]         DGRAM      CONNECTED     44806    
unix  3      [ ]         SEQPACKET  CONNECTED     32115    
unix  3      [ ]         STREAM     CONNECTED     405329   
unix  3      [ ]         SEQPACKET  CONNECTED     363109   
unix  2      [ ]         DGRAM      CONNECTED     53425    
unix  3      [ ]         SEQPACKET  CONNECTED     332427   
unix  3      [ ]         SEQPACKET  CONNECTED     478219   
unix  2      [ ]         DGRAM      CONNECTED     34441    
unix  3      [ ]         SEQPACKET  CONNECTED     38872    
unix  3      [ ]         SEQPACKET  CONNECTED     28203    /dev/socket/lmkd
unix  2      [ ]         DGRAM      CONNECTED     24809    
unix  2      [ ]         DGRAM      CONNECTED     403764   
unix  3      [ ]         SEQPACKET  CONNECTED     399813   
unix  3      [ ]         SEQPACKET  CONNECTED     252013   
unix  3      [ ]         SEQPACKET  CONNECTED     42161    
unix  3      [ ]         SEQPACKET  CONNECTED     41334    
unix  3      [ ]         STREAM     CONNECTED     400272   
unix  2      [ ]         DGRAM      CONNECTED     402629   
unix  2      [ ]         DGRAM      CONNECTED     423874   
unix  3      [ ]         SEQPACKET  CONNECTED     312875   
unix  2      [ ]         DGRAM      CONNECTED     55768    
unix  2      [ ]         DGRAM      CONNECTED     26254    
unix  3      [ ]         STREAM     CONNECTED     622391   
unix  2      [ ]         DGRAM      CONNECTED     71132    
unix  2      [ ]         DGRAM      CONNECTED     40982    
unix  3      [ ]         SEQPACKET  CONNECTED     39716    
unix  3      [ ]         SEQPACKET  CONNECTED     40673    
unix  2      [ ]         DGRAM      CONNECTED     20467    
unix  3      [ ]         STREAM     CONNECTED     426436   
unix  3      [ ]         SEQPACKET  CONNECTED     221589   /dev/socket/lmkd
unix  2      [ ]         DGRAM      CONNECTED     13401    
unix  2      [ ]         DGRAM      CONNECTED     477307   
unix  3      [ ]         SEQPACKET  CONNECTED     399781   
unix  2      [ ]         DGRAM      CONNECTED     95281    
unix  2      [ ]         DGRAM      CONNECTED     51672    
unix  2      [ ]         DGRAM      CONNECTED     425114   
unix  2      [ ]         DGRAM      CONNECTED     24711    
unix  3      [ ]         STREAM     CONNECTED     358446   @com.android.internal.os.AppZygoteInit/27241b7e-091c-4efd-acbe-4b33ea9c8695
unix  3      [ ]         SEQPACKET  CONNECTED     275676   
unix  2      [ ]         DGRAM      CONNECTED     54331    
unix  3      [ ]         SEQPACKET  CONNECTED     39776    
unix  3      [ ]         SEQPACKET  CONNECTED     29099    
unix  2      [ ]         DGRAM      CONNECTED     352464   
unix  2      [ ]         DGRAM      CONNECTED     28298    
unix  2      [ ]         DGRAM      CONNECTED     433988   
unix  3      [ ]         SEQPACKET  CONNECTED     41398    
unix  2      [ ]         DGRAM      CONNECTED     29592    
unix  2      [ ]         DGRAM      CONNECTED     22364    
unix  2      [ ]         DGRAM      CONNECTED     30732    
unix  2      [ ]         DGRAM      CONNECTED     48990    
unix  2      [ ]         DGRAM      CONNECTED     539818   
unix  3      [ ]         SEQPACKET  CONNECTED     70458    
unix  2      [ ]         DGRAM      CONNECTED     56494    
unix  2      [ ]         DGRAM      CONNECTED     39667    
unix  2      [ ]         DGRAM      CONNECTED     352837   
unix  2      [ ]         DGRAM      CONNECTED     26781    
unix  3      [ ]         SEQPACKET  CONNECTED     348856   
unix  2      [ ]         DGRAM      CONNECTED     332353   
unix  3      [ ]         STREAM     CONNECTED     33896    @mi_reclaim
unix  2      [ ]         DGRAM      CONNECTED     466352   
unix  2      [ ]         DGRAM      CONNECTED     55774    
unix  2      [ ]         DGRAM      CONNECTED     24927    
unix  3      [ ]         SEQPACKET  CONNECTED     41411    
