USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   11024240   6808 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 S [pool_workqueue_release]
root             4     2          0      0 0                   0 I [kworker/R-rcu_g]
root             5     2          0      0 0                   0 I [kworker/R-slub_]
root             6     2          0      0 0                   0 I [kworker/R-netns]
root            12     2          0      0 0                   0 I [kworker/R-mm_pe]
root            13     2          0      0 0                   0 I [rcu_tasks_kthread]
root            14     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            15     2          0      0 0                   0 S [ksoftirqd/0]
root            16     2          0      0 0                   0 I [rcu_preempt]
root            17     2          0      0 0                   0 S [rcub/0]
root            18     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            19     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            20     2          0      0 0                   0 S [migration/0]
root            21     2          0      0 0                   0 S [idle_inject/0]
root            22     2          0      0 0                   0 S [cpuhp/0]
root            23     2          0      0 0                   0 S [cpuhp/1]
root            24     2          0      0 0                   0 S [idle_inject/1]
root            25     2          0      0 0                   0 S [migration/1]
root            26     2          0      0 0                   0 S [ksoftirqd/1]
root            29     2          0      0 0                   0 S [cpuhp/2]
root            30     2          0      0 0                   0 S [idle_inject/2]
root            31     2          0      0 0                   0 S [migration/2]
root            32     2          0      0 0                   0 S [ksoftirqd/2]
root            35     2          0      0 0                   0 S [cpuhp/3]
root            36     2          0      0 0                   0 S [idle_inject/3]
root            37     2          0      0 0                   0 S [migration/3]
root            38     2          0      0 0                   0 S [ksoftirqd/3]
root            41     2          0      0 0                   0 S [cpuhp/4]
root            42     2          0      0 0                   0 S [idle_inject/4]
root            43     2          0      0 0                   0 S [migration/4]
root            44     2          0      0 0                   0 S [ksoftirqd/4]
root            47     2          0      0 0                   0 S [cpuhp/5]
root            48     2          0      0 0                   0 S [idle_inject/5]
root            49     2          0      0 0                   0 S [migration/5]
root            50     2          0      0 0                   0 S [ksoftirqd/5]
root            53     2          0      0 0                   0 S [cpuhp/6]
root            54     2          0      0 0                   0 S [idle_inject/6]
root            55     2          0      0 0                   0 S [migration/6]
root            56     2          0      0 0                   0 S [ksoftirqd/6]
root            59     2          0      0 0                   0 S [cpuhp/7]
root            60     2          0      0 0                   0 S [idle_inject/7]
root            61     2          0      0 0                   0 S [migration/7]
root            62     2          0      0 0                   0 S [ksoftirqd/7]
root            65     2          0      0 0                   0 I [kworker/R-inet_]
root            66     2          0      0 0                   0 S [kauditd]
root            67     2          0      0 0                   0 S [khungtaskd]
root            68     2          0      0 0                   0 S [oom_reaper]
root            69     2          0      0 0                   0 I [kworker/R-write]
root            70     2          0      0 0                   0 S [kcompactd0]
root            71     2          0      0 0                   0 I [kworker/R-kbloc]
root            72     2          0      0 0                   0 I [kworker/R-edac-]
root            73     2          0      0 0                   0 I [kworker/R-devfr]
root            74     2          0      0 0                   0 S [watchdogd]
root            80     2          0      0 0                   0 S [kswapd0]
root            83     2          0      0 0                   0 S [erofs_worker/0]
root            84     2          0      0 0                   0 S [erofs_worker/1]
root            85     2          0      0 0                   0 S [erofs_worker/2]
root            86     2          0      0 0                   0 S [erofs_worker/3]
root            87     2          0      0 0                   0 S [erofs_worker/4]
root            88     2          0      0 0                   0 S [erofs_worker/5]
root            89     2          0      0 0                   0 S [erofs_worker/6]
root            90     2          0      0 0                   0 S [erofs_worker/7]
root            91     2          0      0 0                   0 I [kworker/R-kthro]
root            92     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root            93     2          0      0 0                   0 I [kworker/R-nvme-]
root            94     2          0      0 0                   0 I [kworker/R-nvme-]
root            95     2          0      0 0                   0 I [kworker/R-nvme-]
root            96     2          0      0 0                   0 I [kworker/R-uas]
root            97     2          0      0 0                   0 I [kworker/R-dm_bu]
root            98     2          0      0 0                   0 I [kworker/R-mld]
root            99     2          0      0 0                   0 I [kworker/R-ipv6_]
root           101     2          0      0 0                   0 D [hang_detect]
root           102     2          0      0 0                   0 S [hang_detect1]
root           103     2          0      0 0                   0 I [kworker/R-mt-wd]
root           104     2          0      0 0                   0 D [wdtk-0]
root           105     2          0      0 0                   0 D [wdtk-1]
root           106     2          0      0 0                   0 D [wdtk-2]
root           107     2          0      0 0                   0 D [wdtk-3]
root           108     2          0      0 0                   0 D [wdtk-4]
root           109     2          0      0 0                   0 D [wdtk-5]
root           110     2          0      0 0                   0 D [wdtk-6]
root           111     2          0      0 0                   0 D [wdtk-7]
root           112     2          0      0 0                   0 S [hwrng]
root           114     2          0      0 0                   0 S [spi0]
root           115     2          0      0 0                   0 S [spi1]
root           116     2          0      0 0                   0 S [spi2]
root           117     2          0      0 0                   0 S [spi3]
root           118     2          0      0 0                   0 S [spi4]
root           119     2          0      0 0                   0 S [spi5]
root           120     2          0      0 0                   0 S [spi6]
root           121     2          0      0 0                   0 S [spi7]
root           123     2          0      0 0                   0 S [irq/144-mt6358-irq]
root           124     2          0      0 0                   0 S [irq/236-event_0]
root           125     2          0      0 0                   0 S [irq/236-event_1]
root           126     2          0      0 0                   0 S [irq/236-event_2]
root           127     2          0      0 0                   0 S [irq/236-event_3]
root           128     2          0      0 0                   0 S [irq/236-event_4]
root           129     2          0      0 0                   0 S [scsi_eh_0]
root           130     2          0      0 0                   0 I [kworker/R-scsi_]
root           131     2          0      0 0                   0 I [kworker/R-ufs_m]
root           132     2          0      0 0                   0 I [kworker/R-ufs_m]
root           133     2          0      0 0                   0 I [kworker/R-ufs_e]
root           134     2          0      0 0                   0 I [kworker/R-ufs_c]
root           143     2          0      0 0                   0 I [kworker/R-mmdvf]
root           144     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root           145     2          0      0 0                   0 S [dma_pool_fill_thread]
root           146     2          0      0 0                   0 S [irq/44-sc8551x-standalone-irq]
root           147     2          0      0 0                   0 S [irq/36-mt6360_irqs]
root           149     2          0      0 0                   0 S [irq/304-11240000.mmc]
root           150     2          0      0 0                   0 S [irq/30-11240000.mmc cd]
root           151     2          0      0 0                   0 I [kworker/R-lbat_]
root           153     2          0      0 0                   0 I [kworker/R-usb20]
root           154     2          0      0 0                   0 R [irq/305-musb-hdrc]
root           155     2          0      0 0                   0 D [mivr_thread.mt6360-chg.2.auto]
root           156     2          0      0 0                   0 I [kworker/R-pe_pa]
root           157     2          0      0 0                   0 S [tcpc_timer_type_c_port0]
root           158     2          0      0 0                   0 S [irq/90-usbid_evt]
root           159     2          0      0 0                   0 S [irq/35-type_c_port0-IRQ]
root           160     2          0      0 0                   0 S [charger_thread]
root           161     2          0      0 0                   0 S [mtk_bat_irq_thread]
root           162     2          0      0 0                   0 S [fgauge gct]
root           163     2          0      0 0                   0 S [fgauge]
root           166     2          0      0 0                   0 S [battery_manager_thread]
root           167     2          0      0 0                   0 S [power_misc_thread]
root           168     2          0      0 0                   0 S [attach_thread]
root           169     2          0      0 0                   0 S [pe50_algo_task]
root           170     2          0      0 0                   0 S [tcpc_event_type_c_port0]
root           171     2          0      0 0                   0 I [kworker/R-extco]
root           172     2          0      0 0                   0 S [cmdq_irq_thread]
root           173     2          0      0 0                   0 I [kworker/R-cmdq_]
root           174     2          0      0 0                   0 I [kworker/R-cmdq_]
root           175     2          0      0 0                   0 I [kworker/R-cmdq_]
root           176     2          0      0 0                   0 I [kworker/R-cmdq_]
root           177     2          0      0 0                   0 I [kworker/R-cmdq_]
root           178     2          0      0 0                   0 D [cmdq_buffer_usage]
root           179     2          0      0 0                   0 I [kworker/R-regul]
root           183     2          0      0 0                   0 S [jbd2/sdc14-8]
root           184     2          0      0 0                   0 I [kworker/R-ext4-]
root           185     2          0      0 0                   0 I [kworker/R-kdmfl]
root           186     2          0      0 0                   0 I [kworker/R-kdmfl]
